item,pair_left_obj,pair_right_obj,condition,target_side,target_object,tap_dir,video
A,Bottle,Cookie,Aff,L,Bottle,L,Bottle_L_Aff.mp4
B,Pillow,Box,What,L,Pillow,L,Pillow_L_What.mp4
C,Book,Hat,Aff,L,Bottle,R,Bottle_R_Aff.mp4
D,Cup,Ball,What,L,Cup,R,Cup_R_What.mp4
E,Balloon,Flower,Aff,R,Flower,L,Flower_L_Aff.mp4
F,Baby,Car,What,R,Car,L,Car_L_What.mp4
G,Apples,Socks,Aff,R,Socks,R,Socks_R_Aff.mp4
H,Crackers,Bananas,What,L,Crackers,R,Crackers_R_What.mp4
I,Towel,Yogurt,Aff,R,Yogurt,L,Yogurt_L_Aff.mp4
J,Truck,Frog,What,R,Frog,L,Frog_L_What.mp4
K,Shoe,Bear,Aff,R,Bear,R,Bear_R_Aff.mp4
L,Spoon,Block,What,L,Spoon,R,Spoon_R_What.mp4
