item,pair_left_obj,pair_right_obj,condition,target_side,target_object,tap_dir,video
A,Bottle,Cookie,What,R,Cookie,R,Cookie_R_What.mp4
B,Pillow,Box,Aff,R,Box,R,Box_R_Aff.mp4
C,Book,Hat,What,R,Hat,L,Hat_L_What.mp4
D,Cup,Ball,Aff,R,Ball,L,Ball_L_Aff.mp4
E,Balloon,Flower,What,L,Balloon,R,Balloon_R_What.mp4
F,Baby,Car,Aff,L,Baby,R,Baby_R_Aff.mp4
G,Apples,Socks,What,L,Apples,L,Apples_L_What.mp4
H,Crackers,Bananas,Aff,R,Bananas,L,Bananas_L_Aff.mp4
I,Towel,Yogurt,What,L,Towel,R,Towel_R_What.mp4
J,Truck,Frog,Aff,L,Truck,R,Truck_R_Aff.mp4
K,Shoe,Bear,What,L,Shoe,L,Shoe_L_What.mp4
L,Spoon,Block,Aff,R,Block,L,Block_L_Aff.mp4
