item,pair_left_obj,pair_right_obj,condition,target_side,target_object,tap_dir,video
A,Bottle,Cookie,What,L,Bottle,L,Bottle_L_What.mp4
B,Pillow,Box,Aff,L,Pillow,L,Pillow_L_Aff.mp4
C,Book,Hat,What,L,Bottle,R,Bottle_R_What.mp4
D,Cup,Ball,Aff,L,Cup,R,Cup_R_Aff.mp4
E,Balloon,Flower,What,R,Flower,L,Flower_L_What.mp4
F,Baby,Car,Aff,R,Car,L,Car_L_Aff.mp4
G,Apples,Socks,What,R,Socks,R,Socks_R_What.mp4
H,Crackers,Bananas,Aff,L,Crackers,R,Crackers_R_Aff.mp4
I,Towel,Yogurt,What,R,Yogurt,L,Yogurt_L_What.mp4
J,Truck,Frog,Aff,R,Frog,L,Frog_L_Aff.mp4
K,Shoe,Bear,What,R,Bear,R,Bear_R_What.mp4
L,Spoon,Block,Aff,L,Spoon,R,Spoon_R_Aff.mp4
