item,pair_left_obj,pair_right_obj,condition,target_side,target_object,tap_dir,video
A,Bottle,Cookie,Aff,R,Cookie,R,Cookie_R_Aff.mp4
B,Pillow,Box,What,R,Box,R,Box_R_What.mp4
C,Book,Hat,Aff,R,Hat,L,Hat_L_Aff.mp4
D,Cup,Ball,What,R,Ball,L,Ball_L_What.mp4
E,Balloon,Flower,Aff,L,Balloon,R,Balloon_R_Aff.mp4
F,Baby,Car,What,L,Baby,R,Baby_R_What.mp4
G,Apples,Socks,Aff,L,Apples,L,Apples_L_Aff.mp4
H,Crackers,Bananas,What,R,Bananas,L,Bananas_L_What.mp4
I,Towel,Yogurt,Aff,L,Towel,R,Towel_R_Aff.mp4
J,Truck,Frog,What,L,Truck,R,Truck_R_What.mp4
K,Shoe,Bear,Aff,L,Shoe,L,Shoe_L_Aff.mp4
L,Spoon,Block,What,R,Block,L,Block_L_What.mp4
